用户ID,商品ID,品牌,商品名称,商品类别,商品类目ID,行为类型,时间戳,售价,销量
282,126,Apple,Apple Gram 17,笔记本电脑,2,buy,2025-10-1 0:12,14333,2
759,280,Samsung,Samsung ZV-E1,相机,6,buy,2025-10-1 1:32,5528,3
31,48,Dell,Dell iPad Pro,平板电脑,3,buy,2025-10-1 2:07,2314,3
28,288,Lenovo,Lenovo P60 Pro,智能手机,1,buy,2025-10-1 2:31,2710,1
226,230,Lenovo,Lenovo Surface Laptop,笔记本电脑,2,buy,2025-10-1 2:35,7423,3
715,217,Apple,Apple X90L,电视,7,buy,2025-10-1 2:40,6269,3
782,173,Huawei,Huawei iPhone 16,智能手机,1,buy,2025-10-1 2:41,3729,1
368,177,Dell,Dell MacBook Pro,笔记本电脑,2,buy,2025-10-1 3:35,5521,3
471,275,Apple,Apple Gram 17,笔记本电脑,2,buy,2025-10-1 3:59,13826,5
301,186,Samsung,Samsung P60 Pro,智能手机,1,buy,2025-10-1 4:32,2015,3
678,117,Samsung,Samsung AirPods Pro,耳机,4,buy,2025-10-1 4:32,1130,2
390,143,Xiaomi,Xiaomi A7 IV,相机,6,buy,2025-10-1 6:05,6581,1
380,182,LG,LG Galaxy Tab S9,平板电脑,3,buy,2025-10-1 6:52,5339,2
624,88,Sony,Sony AirPods Pro,耳机,4,buy,2025-10-1 6:59,622,4
474,195,Xiaomi,Xiaomi Galaxy Watch 6,智能手表,5,buy,2025-10-1 7:04,3160,2
702,167,Lenovo,Lenovo X90L,电视,7,buy,2025-10-1 7:09,3838,3
33,162,Apple,Apple iPhone 16,智能手机,1,addbuy,2025-10-1 7:19,8000,0
581,162,Samsung,Samsung Galaxy Buds2,耳机,4,buy,2025-10-1 7:39,808,1
659,235,HP,HP Xiaomi Pad 6,平板电脑,3,buy,2025-10-1 7:54,3376,1
763,288,Huawei,Huawei iPhone 16,智能手机,1,buy,2025-10-1 8:03,2105,1
598,205,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,buy,2025-10-1 8:28,5349,2
506,47,Huawei,Huawei Nothing Ear,耳机,4,buy,2025-10-1 8:32,703,1
643,82,Samsung,Samsung iPhone 16,智能手机,1,buy,2025-10-1 8:41,7015,1
66,198,Dell,Dell P60 Pro,智能手机,1,buy,2025-10-1 8:53,7636,2
258,284,HP,HP Surface Pro,平板电脑,3,buy,2025-10-1 9:09,4731,2
769,137,Samsung,Samsung Nothing Ear,耳机,4,buy,2025-10-1 9:50,221,2
446,81,Samsung,Samsung ThinkPad X1,笔记本电脑,2,buy,2025-10-1 9:56,14475,5
781,92,Sony,Sony ROG Zephyrus,笔记本电脑,2,buy,2025-10-1 10:15,11234,2
624,102,Sony,Sony Fitbit Sense,智能手表,5,buy,2025-10-1 10:39,2733,2
798,272,Huawei,Huawei P60 Pro,智能手机,1,buy,2025-10-1 10:40,2243,4
20,58,LG,LG Surface Laptop,笔记本电脑,2,addbuy,2025-10-1 11:05,4115,0
247,291,Xiaomi,Xiaomi AirPods Pro,耳机,4,buy,2025-10-1 11:10,750,1
779,273,HP,HP iPhone 15,智能手机,1,addbuy,2025-10-1 11:12,1488,0
170,136,HP,HP ROG Zephyrus,笔记本电脑,2,buy,2025-10-1 12:30,5925,1
553,103,Dell,Dell Galaxy Buds2,耳机,4,addbuy,2025-10-1 14:00,1240,0
530,232,LG,LG Sony XM5,耳机,4,buy,2025-10-1 14:43,692,3
347,11,Xiaomi,Xiaomi A7 IV,相机,6,buy,2025-10-1 14:53,3908,3
226,4,Xiaomi,Xiaomi ROG Zephyrus,笔记本电脑,2,buy,2025-10-1 14:56,13721,4
70,17,Apple,Apple iPhone 16,智能手机,1,buy,2025-10-1 15:26,1743,2
286,249,Lenovo,Lenovo Galaxy Buds2,耳机,4,buy,2025-10-1 15:42,562,2
585,296,Huawei,Huawei Xiaomi 14,智能手机,1,addbuy,2025-10-1 15:45,2831,0
