job_id,job_title,job_category,company_name,company_size,company_type,city,education,experience,salary_min,salary_max,salary_avg,skills,job_description,requirements,publish_date,views,applications
JOB770487,Java开发工程师,技术,新浪,20-99人,金融,重庆,硕士,1-3年,9482,15409,12445,"TensorFlow,Linux,Python","负责Java开发工程师相关的系统设计和开发工作
持续优化系统性能和用户体验
参与技术方案评审，解决技术难题","1-3年以上相关工作经验
具备良好的沟通能力和团队协作精神
硕士及以上学历，计算机相关专业优先
具备良好的编程基础和算法能力",2026-02-28,4564,112
JOB331148,媒介专员,市场,大华股份,100-499人,制造业,杭州,大专,1-3年,8837,14361,11599,"市场调研,公关,品牌推广,BD","组织市场活动和品牌宣传
负责媒介专员相关的市场推广工作
制定市场推广策略和计划","具备市场策划和执行能力
具备良好的商务谈判能力
有相关行业资源者优先
大专及以上学历",2026-02-11,3863,142
JOB230889,市场专员,市场,旷视科技,1000-9999人,医疗,西安,硕士,不限,7091,11524,9307,"品牌推广,渠道拓展,市场调研","拓展市场渠道和合作伙伴
负责市场专员相关的市场推广工作
组织市场活动和品牌宣传","硕士及以上学历
熟悉各类营销渠道和推广方式
具备市场策划和执行能力
不限以上市场推广经验",2026-02-14,3088,46
JOB488162,运营经理,运营,京东,1000-9999人,教育,天津,硕士,不限,6615,10750,8682,"数据分析,活动策划,SEO,SEM","维护用户关系，提升用户活跃度
制定运营策略和执行计划
分析运营数据，优化运营效果","具备数据分析能力和运营思维
硕士及以上学历
不限以上运营经验
具备良好的文案写作能力",2026-02-09,2684,107
JOB380746,后端开发工程师,技术,平安科技,20-99人,物流,青岛,不限,不限,5066,8233,6649,"大数据,Hadoop,Scikit-learn,Git,React,MySQL","参与需求分析、系统设计、编码实现和测试
持续优化系统性能和用户体验
编写高质量、可维护的代码","具备良好的沟通能力和团队协作精神
有大型项目经验者优先
具备良好的编程基础和算法能力
熟悉相关技术栈和开发工具",2026-02-16,3609,154
JOB518801,运营经理,运营,美团,0-20人,金融,深圳,不限,5-10年,13970,22702,18336,"数据分析,SEO,新媒体,活动策划","维护用户关系，提升用户活跃度
负责运营经理相关的运营工作
制定运营策略和执行计划","熟悉新媒体运营和内容策划
具备良好的文案写作能力
有成功运营案例者优先
具备数据分析能力和运营思维",2026-02-26,4632,7
JOB813328,人力资源,职能,蚂蚁集团,0-20人,制造业,天津,不限,3-5年,5542,9005,7273,"绩效考核,薪酬管理,招聘,组织管理,培训,Excel","负责人力资源相关工作
整理和归档相关文件资料
协调各部门之间的沟通","工作认真负责，细致耐心
有相关行业经验者优先
3-5年以上相关工作经验
不限及以上学历",2026-02-23,1423,143
JOB916449,平面设计,设计,腾讯,0-20人,零售,苏州,硕士,5-10年,25038,40688,32863,"Figma,Photoshop,Illustrator,Adobe XD,C4D","负责平面设计相关的设计工作
与产品、开发团队协作
持续优化设计质量和用户体验","具备良好的沟通理解能力
5-10年以上设计经验
有优秀作品集者优先
具备良好的审美能力和创意思维",2026-02-19,4603,47
JOB377932,动效设计师,设计,宁德时代,10000人以上,医疗,苏州,博士,1-3年,15731,25563,20647,"C4D,3D Max,After Effects,Sketch,Figma","持续优化设计质量和用户体验
与产品、开发团队协作
负责动效设计师相关的设计工作","1-3年以上设计经验
有优秀作品集者优先
博士及以上学历，设计相关专业优先
具备良好的沟通理解能力",2026-03-06,4919,146
JOB341292,视觉设计,设计,百度,20-99人,金融,北京,大专,不限,7570,12302,9936,"3D Max,Photoshop,Adobe XD","根据需求进行创意设计和视觉表现
制作设计稿和交互原型
与产品、开发团队协作","熟练使用设计软件和工具
不限以上设计经验
具备良好的沟通理解能力
具备良好的审美能力和创意思维",2026-02-05,4777,152
